microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
             36    1.48521e+11    2.88059e+09     5.6902e+12    4.74806e+16    4.59643e+20    9.65378e+09    1.64713e+12    1.40256e+17    1.74543e+15    7.98441e+09    4.81519e+18    1.45077e+19    4.81016e+08
             37    3.28531e+11    1.18136e+10    1.18836e+13    8.91957e+16    7.07618e+20    3.37678e+10    4.25177e+12    2.45999e+17    3.63349e+15    2.01315e+10    8.81167e+18    2.63019e+19    2.67064e+09
             38    7.07878e+11    4.29126e+10    2.43754e+13    1.64964e+17    1.08263e+21    1.07654e+11    1.04834e+13    4.26575e+17    7.39865e+15    4.89272e+10    1.59022e+19    4.70565e+19    1.17301e+10
             39     1.4888e+12    1.41577e+11    4.91364e+13     3.0065e+17    1.64647e+21    3.18232e+11    2.48306e+13    7.31733e+17    1.47601e+16    1.14988e+11    2.83238e+19    8.31384e+19    4.42759e+10
             40    3.06198e+12    4.31702e+11    9.74045e+13    5.40419e+17    2.48947e+21    8.83187e+11    5.67554e+13     1.2423e+18    2.88907e+16    2.62074e+11    4.98245e+19     1.4515e+20    1.49391e+11
             41    6.16819e+12    1.23225e+12    1.90004e+14    9.58812e+17    3.74303e+21    2.32266e+12    1.25657e+14    2.08843e+18    5.55537e+16    5.80707e+11    8.66191e+19    2.50566e+20    4.61449e+11
             42    1.21878e+13    3.32452e+12    3.64953e+14    1.68026e+18     5.5973e+21    5.82969e+12    2.70322e+14    3.47799e+18    1.05062e+17    1.25377e+12    1.48909e+20    4.27915e+20    1.32669e+12
             43    2.36517e+13     8.5413e+12    6.90693e+14    2.91029e+18    8.32619e+21    1.40441e+13    5.66543e+14    5.74018e+18    1.95617e+17    2.64281e+12     2.5328e+20     7.2334e+20    3.59241e+12
             44    4.51303e+13    2.10218e+13    1.28878e+15    4.98506e+18    1.23224e+22    3.26229e+13    1.15935e+15     9.3924e+18    3.58915e+17     5.4483e+12    4.26452e+20    1.21082e+21    9.24163e+12
             45    8.47603e+13    4.98038e+13    2.37239e+15     8.4492e+18    1.81466e+22    7.33451e+13    2.32098e+15    1.52418e+19    6.49483e+17    1.10023e+13    7.11101e+20    2.00796e+21    2.27394e+13
             46    1.56834e+14    1.14033e+14    4.31078e+15    1.41771e+19    2.65953e+22    1.60107e+14    4.55337e+15    2.45384e+19    1.16002e+18    2.17941e+13    1.17482e+21    3.30024e+21    5.38015e+13
             47    2.86142e+14    2.53174e+14    7.73632e+15    2.35606e+19    3.87961e+22    3.40256e+14    8.76684e+15    3.92049e+19    2.04637e+18    4.24006e+13     1.9238e+21    5.37792e+21    1.22934e+14
             48    5.15171e+14     5.4658e+14    1.37199e+16    3.87971e+19    5.63377e+22    7.05585e+14     1.6587e+16    6.21793e+19    3.56781e+18      8.111e+13    3.12366e+21    8.69183e+21    2.72243e+14
             49    9.15918e+14    1.15023e+15    2.40562e+16    6.33283e+19    8.14505e+22    1.43054e+15    3.08751e+16    9.79218e+19    6.15137e+18    1.52717e+14    5.03071e+21    1.39373e+22    5.86064e+14
             50    1.60908e+15    2.36437e+15    4.17222e+16    1.02504e+20    1.17253e+23    2.84059e+15    5.66002e+16    1.53163e+20    1.04936e+19     2.8328e+14    8.03892e+21    2.21794e+22    1.22952e+15
             51    2.79494e+15    4.75596e+15    7.16091e+16    1.64582e+20     1.6809e+23    5.53264e+15    1.02282e+17    2.37996e+20    1.77207e+19    5.18111e+14    1.27497e+22    3.50388e+22    2.51924e+15
             52    4.80261e+15    9.37658e+15    1.21679e+17    2.62215e+20    2.39989e+23    1.05841e+16    1.82354e+17    3.67475e+20    2.96371e+19    9.35063e+14    2.00753e+22    5.49658e+22    5.05084e+15
             53    8.16796e+15    1.81446e+16     2.0478e+17    4.14667e+20    3.41287e+23    1.99108e+16    3.20993e+17    5.63927e+20    4.91105e+19    1.66639e+15    3.13904e+22    8.56428e+22    9.92497e+15
             54    1.37557e+16    3.45057e+16    3.41465e+17    6.51072e+20    4.83473e+23    3.68724e+16    5.58265e+17     8.6028e+20     8.0662e+19    2.93432e+15    4.87544e+22     1.3257e+23    1.91422e+16
