microcanonical number of states:
    E, kcal/mol          rxn_1          rxn_2          rxn_3          rxn_4         rxn_24     rxn_eor2_1     rxn_eor2_3     rxn_eor2_6     rxn_eor2_8     rxn_eor5_1         rxn_21         rxn_31     rxn_eor5_4
            122    2.36583e+26    9.33045e+27     4.0123e+27    1.16395e+30    2.67877e+31     5.3659e+27    1.70356e+28    7.02429e+29    6.06659e+29    1.70877e+26      6.232e+31    1.57275e+32    6.87762e+27
            123    3.03384e+26    1.21317e+28    5.12154e+27    1.46656e+30    3.28657e+31     6.9525e+27    2.18668e+28    8.81212e+29     7.7259e+29    2.20854e+26    7.83175e+31    1.97596e+32    8.95888e+27
            124    3.88377e+26    1.57426e+28    6.52626e+27    1.84505e+30    4.02759e+31    8.99079e+27    2.80178e+28    1.10393e+30     9.8228e+29    2.84923e+26    9.82753e+31    2.47887e+32    1.16465e+28
            125    4.96338e+26    2.03882e+28    8.30228e+27    2.31777e+30    4.93002e+31    1.16045e+28     3.5836e+28    1.38099e+30    1.24685e+30    3.66913e+26    1.23139e+32    3.10525e+32    1.51105e+28
            126    6.33252e+26    2.63538e+28    1.05441e+28    2.90732e+30     6.0278e+31    1.49501e+28    4.57564e+28    1.72519e+30    1.58013e+30    4.71654e+26    1.54069e+32    3.88434e+32    1.95668e+28
            127    8.06605e+26    3.40004e+28    1.33694e+28    3.64155e+30    7.36177e+31    1.92247e+28    5.83233e+28    2.15223e+30    1.99934e+30    6.05232e+26    1.92495e+32      4.852e+32    2.52888e+28
            128    1.02575e+27    4.37839e+28    1.69245e+28    4.55468e+30    8.98099e+31    2.46766e+28    7.42169e+28    2.68136e+30    2.52582e+30    7.75298e+26    2.40167e+32    6.05227e+32    3.26227e+28
            129    1.30235e+27    5.62791e+28     2.1391e+28    5.68876e+30    1.09444e+32    3.16181e+28    9.42852e+28    3.33612e+30    3.18604e+30    9.91462e+26     2.9923e+32    7.53904e+32    4.20056e+28
            130    1.65093e+27    7.22096e+28    2.69939e+28    7.09533e+30    1.33225e+32    4.04411e+28    1.19585e+29    4.14532e+30    4.01273e+30    1.26577e+27    3.72307e+32    9.37828e+32    5.39888e+28
            131    2.08956e+27    9.24845e+28    3.40119e+28    8.83753e+30    1.62001e+32    5.16367e+28    1.51429e+29     5.1441e+30    5.04638e+30     1.6133e+27    4.62607e+32    1.16506e+33    6.92661e+28
            132    2.64068e+27    1.18245e+29    4.27894e+28    1.09926e+31    1.96784e+32    6.58193e+28     1.9145e+29    6.37534e+30    6.33694e+30     2.0529e+27    5.74043e+32    1.44542e+33    8.87098e+28
            133    3.33213e+27     1.5092e+29    5.37515e+28     1.3655e+31    2.38786e+32    8.37564e+28    2.41671e+29    7.89129e+30    7.94599e+30    2.60809e+27    7.11387e+32    1.79091e+33    1.13414e+29
            134    4.19837e+27    1.92298e+29    6.74222e+28    1.69398e+31    2.89453e+32    1.06406e+29    3.04596e+29    9.75551e+30    9.94931e+30    3.30819e+27    8.80448e+32    2.21612e+33    1.44751e+29
            135    5.28205e+27     2.4461e+29    8.44467e+28    2.09874e+31    3.50512e+32    1.34959e+29    3.83323e+29    1.20452e+31    1.24401e+31    4.18968e+27    1.08829e+33    2.73879e+33    1.84434e+29
            136    6.63582e+27     3.1064e+29    1.05618e+29    2.59689e+31    4.24023e+32    1.70901e+29    4.81678e+29    1.48543e+31    1.55328e+31    5.29789e+27     1.3435e+33    3.38046e+33    2.34607e+29
            137    8.32466e+27    3.93855e+29     1.3191e+29    3.20919e+31    5.12439e+32    2.16072e+29    6.04377e+29    1.82963e+31    1.93676e+31    6.68909e+27    1.65648e+33     4.1673e+33    2.97941e+29
            138    1.04286e+28    4.98563e+29    1.64517e+29    3.96089e+31    6.18679e+32    2.72757e+29     7.5723e+29    2.25092e+31    2.41163e+31    8.43297e+27    2.03986e+33    5.13098e+33    3.77763e+29
            139    1.30461e+28    6.30114e+29    2.04901e+29    4.88263e+31    7.46215e+32    3.43783e+29    9.47382e+29    2.76595e+31    2.99892e+31    1.06158e+28    2.50892e+33    6.30985e+33    4.78211e+29
            140    1.62982e+28    7.95138e+29     2.5485e+29    6.01152e+31    8.99173e+32    4.32648e+29    1.18361e+30    3.39489e+31    3.72429e+31    1.33443e+28    3.08212e+33    7.75029e+33    6.04422e+29
            141    2.03335e+28    1.00185e+30     3.1655e+29    7.39249e+31    1.08245e+33    5.43672e+29    1.47667e+30    4.16206e+31    4.61907e+31      1.675e+28    3.78179e+33     9.5083e+33    7.62764e+29
            142    2.53339e+28    1.26039e+30    3.92667e+29    9.07987e+31    1.30185e+33    6.82181e+29    1.83977e+30    5.09681e+31    5.72145e+31    2.09951e+28    4.63485e+33    1.16515e+34    9.61126e+29
            143    3.15224e+28    1.58329e+30     4.8645e+29    1.11393e+32    1.56425e+33    8.54733e+29    2.28903e+30    6.23451e+31    7.07789e+31    2.62793e+28    5.67375e+33    1.42612e+34    1.20926e+30
            144    3.91715e+28      1.986e+30    6.01854e+29    1.36499e+32    1.87781e+33     1.0694e+30     2.8442e+30    7.61772e+31    8.74492e+31    3.28482e+28    6.93757e+33    1.74357e+34    1.51921e+30
            145    4.86142e+28    2.48753e+30    7.43686e+29    1.67073e+32    2.25215e+33    1.33609e+30    3.52933e+30    9.29763e+31    1.07912e+32    4.10033e+28    8.47331e+33    2.12927e+34    1.90581e+30
            146    6.02566e+28    3.11127e+30    9.17785e+29    2.04262e+32    2.69868e+33    1.66696e+30    4.37379e+30    1.13357e+32    1.32999e+32    5.11144e+28    1.03374e+34     2.5974e+34    2.38737e+30
            147    7.45935e+28    3.88593e+30    1.13123e+30    2.49449e+32    3.23084e+33    2.07691e+30    5.41332e+30    1.38058e+32     1.6372e+32    6.36343e+28    1.25978e+34    3.16496e+34    2.98637e+30
            148    9.22273e+28    4.84673e+30    1.39261e+30    3.04295e+32     3.8645e+33    2.58416e+30    6.69141e+30    1.67964e+32    2.01297e+32    7.91173e+28    1.53356e+34    3.85235e+34    3.73045e+30
            149     1.1389e+29    6.03681e+30    1.71231e+30    3.70794e+32    4.61839e+33      3.211e+30    8.26087e+30    2.04134e+32    2.47206e+32    9.82404e+28    1.86482e+34      4.684e+34    4.65348e+30
            150    1.40472e+29    7.50893e+30    2.10288e+30    4.51337e+32    5.51455e+33    3.98463e+30    1.01858e+31    2.47837e+32     3.0323e+32     1.2183e+29    2.26523e+34    5.68913e+34    5.79701e+30
            151    1.73051e+29    9.32758e+30    2.57947e+30    5.48788e+32    6.57894e+33     4.9382e+30    1.25439e+31    3.00589e+32    3.71523e+32    1.50895e+29    2.74871e+34     6.9027e+34    7.21185e+30
            152    2.12934e+29    1.15715e+31    3.16039e+30    6.66575e+32    7.84209e+33    6.11209e+30    1.54293e+31    3.64201e+32    4.54678e+32     1.8666e+29    3.33191e+34    8.36645e+34    8.96011e+30
            153    2.61705e+29    1.43365e+31    3.86767e+30    8.08796e+32    9.33989e+33    7.55542e+30    1.89557e+31    4.40834e+32    5.55819e+32     2.3062e+29    4.03468e+34    1.01302e+35    1.11176e+31
            154    3.21276e+29    1.77394e+31    4.72784e+30    9.80349e+32    1.11145e+34    9.32788e+30    2.32607e+31    5.33063e+32    6.78703e+32    2.84586e+29    4.88071e+34    1.22533e+35    1.37768e+31
            155    3.93958e+29    2.19222e+31     5.7728e+30    1.18708e+33    1.32153e+34    1.15019e+31      2.851e+31    6.43959e+32    8.27843e+32    3.50761e+29     5.8982e+34    1.48064e+35    1.70503e+31
            156    4.82541e+29    2.70574e+31    7.04087e+30    1.43595e+33    1.57004e+34    1.41652e+31    3.49039e+31    7.77173e+32    1.00866e+33    4.31811e+29     7.1207e+34    1.78738e+35    2.10751e+31
            157    5.90386e+29    3.33543e+31    8.57805e+30    1.73526e+33    1.86377e+34    1.74242e+31    4.26831e+31    9.37047e+32    1.22765e+33    5.30968e+29    8.58813e+34    2.15555e+35    2.60175e+31
            158     7.2154e+29    4.10665e+31    1.04395e+31    2.09488e+33    2.21068e+34    2.14074e+31    5.21374e+31    1.12874e+33     1.4926e+33    6.52141e+29    1.03479e+35    2.59704e+35    3.20797e+31
            159    8.80874e+29    5.05011e+31    1.26911e+31    2.52657e+33    2.62008e+34    2.62701e+31    6.36152e+31    1.35838e+33    1.81282e+33    8.00052e+29    1.24562e+35    3.12593e+35    3.95064e+31
            160    1.07424e+30    6.20292e+31    1.54121e+31    3.04428e+33    3.10286e+34       3.22e+31    7.75347e+31    1.63321e+33    2.19946e+33    9.80403e+29    1.49797e+35    3.75897e+35    4.85942e+31
            161    1.30866e+30    7.60994e+31    1.86967e+31    3.66456e+33    3.67173e+34    3.94229e+31    9.43974e+31    1.96186e+33    2.66582e+33    1.20007e+30    1.79976e+35    4.51595e+35     5.9702e+31
            162    1.59257e+30    9.32528e+31    2.26579e+31    4.40705e+33    4.34155e+34    4.82112e+31    1.14804e+32     2.3545e+33    3.22779e+33    1.46734e+30    2.16032e+35    5.42033e+35    7.32631e+31
            163    1.93606e+30    1.14142e+32      2.743e+31    5.29503e+33    5.12964e+34    5.88925e+31    1.39475e+32    2.82319e+33    3.90431e+33    1.79217e+30    2.59073e+35    6.49984e+35    8.98009e+31
            164    2.35122e+30    1.39551e+32    3.31736e+31    6.35605e+33     6.0562e+34    7.18604e+31     1.6927e+32    3.38216e+33    4.71793e+33    2.18656e+30    3.10406e+35    7.78725e+35    1.09946e+32
            165    2.85252e+30    1.70427e+32    4.00795e+31    7.62269e+33    7.14477e+34    8.75877e+31    2.05217e+32    4.04825e+33    5.69551e+33     2.6649e+30    3.71574e+35    9.32125e+35     1.3446e+32
            166    3.45722e+30    2.07903e+32     4.8375e+31    9.13346e+33    8.42274e+34    1.06641e+32    2.48544e+32     4.8413e+33    6.86897e+33    3.24447e+30    4.44397e+35    1.11475e+36    1.64255e+32
            167    4.18597e+30    2.53342e+32    5.83302e+31    1.09339e+34    9.92201e+34    1.29701e+32    3.00713e+32    5.78472e+33    8.27625e+33    3.94597e+30    5.31023e+35    1.33198e+36    2.00433e+32
            168    5.06335e+30     3.0838e+32    7.02658e+31    1.30775e+34    1.16796e+35    1.57579e+32    3.63469e+32    6.90608e+33    9.96237e+33    4.79421e+30    6.33979e+35    1.59014e+36    2.44313e+32
            169    6.11868e+30    3.74973e+32    8.45624e+31    1.56278e+34    1.37387e+35     1.9125e+32    4.38886e+32    8.23786e+33    1.19807e+34    5.81885e+30     7.5624e+35    1.89671e+36     2.9748e+32
            170    7.38689e+30    4.55465e+32    1.01671e+32    1.86592e+34    1.61492e+35    2.31875e+32    5.29433e+32    9.81825e+33    1.43946e+34    7.05538e+30    9.01306e+35    2.26044e+36    3.61832e+32
            171    8.90948e+30    5.52658e+32    1.22126e+32    2.22594e+34    1.89692e+35    2.80842e+32    6.38043e+32    1.16921e+34    1.72789e+34    8.54617e+30    1.07329e+36    2.69165e+36    4.39642e+32
            172    1.07358e+31    6.69899e+32    1.46561e+32    2.65316e+34     2.2266e+35    3.39806e+32    7.68197e+32    1.39123e+34    2.07223e+34    1.03418e+31    1.27701e+36    3.20243e+36    5.33632e+32
            173    1.29245e+31    8.11183e+32    1.75722e+32    3.15972e+34    2.61175e+35    4.10738e+32    9.24026e+32    1.65405e+34    2.48295e+34    1.25024e+31    1.51814e+36    3.80698e+36    6.47051e+32
            174    1.55451e+31    9.81274e+32    2.10494e+32    3.75985e+34    3.06142e+35    4.95985e+32    1.11042e+33    1.96495e+34    2.97242e+34    1.50999e+31    1.80331e+36    4.52193e+36     7.8378e+32
            175      1.868e+31    1.18584e+33    2.51919e+32    4.47028e+34    3.58606e+35    5.98339e+32    1.33318e+33    2.33242e+34    3.55525e+34    1.82197e+31    2.14031e+36    5.36678e+36    9.48449e+32
            176    2.24268e+31    1.43165e+33    3.01228e+32     5.3106e+34    4.19776e+35    7.21116e+32    1.59916e+33    2.76644e+34    4.24864e+34    2.19634e+31    2.53822e+36    6.36434e+36    1.14658e+33
            177    2.69013e+31    1.72672e+33     3.5987e+32    6.30378e+34    4.91051e+35    8.68256e+32    1.91647e+33    3.27866e+34    5.07287e+34    2.64515e+31    3.00771e+36    7.54131e+36    1.38473e+33
            178    3.22399e+31    2.08059e+33    4.29554e+32     7.4767e+34    5.74045e+35    1.04443e+33    2.29467e+33    3.88271e+34    6.05182e+34    3.18274e+31    3.56122e+36    8.92888e+36    1.67073e+33
            179    3.86043e+31     2.5046e+33    5.12288e+32    8.86083e+34    6.70625e+35    1.25517e+33    2.74507e+33    4.59453e+34    7.21358e+34    3.82608e+31    4.21329e+36    1.05635e+37    2.01386e+33
            180    4.61851e+31    3.01216e+33    6.10434e+32    1.04929e+35    7.82941e+35    1.50704e+33    3.28099e+33    5.43273e+34    8.59114e+34    4.59531e+31    4.98088e+36    1.24877e+37    2.42516e+33
            181    5.52072e+31     3.6192e+33    7.26768e+32     1.2416e+35    9.13476e+35    1.80779e+33    3.91811e+33    6.41901e+34    1.02233e+35    5.51425e+31    5.88379e+36     1.4751e+37    2.91772e+33
            182    6.59359e+31    4.34455e+33    8.64547e+32    1.46802e+35    1.06509e+36    2.16658e+33    4.67493e+33     7.5787e+34    1.21555e+35    6.61109e+31    6.94508e+36    1.74113e+37    3.50705e+33
            183    7.86834e+31     5.2105e+33    1.02759e+33    1.73441e+35    1.24108e+36    2.59426e+33    5.57318e+33     8.9413e+34    1.44411e+35    7.91916e+31    8.19161e+36     2.0536e+37    4.21155e+33
            184    9.38175e+31     6.2434e+33    1.22038e+33    2.04758e+35    1.44523e+36    3.10361e+33    6.63841e+33    1.05412e+35    1.71427e+35    9.47781e+31    9.65465e+36    2.42033e+37    5.05296e+33
            185     1.1177e+32    7.47436e+33    1.44817e+33    2.41549e+35    1.68191e+36    3.70969e+33    7.90064e+33    1.24183e+35    2.03334e+35    1.13335e+32    1.13706e+37    2.85045e+37    6.05702e+33
            186     1.3305e+32    8.94009e+33    1.71708e+33    2.84739e+35    1.95614e+36    4.43027e+33     9.3951e+33    1.46193e+35     2.4099e+35     1.3541e+32    1.33817e+37    3.35455e+37    7.25412e+33
            187    1.58254e+32    1.06839e+34    2.03431e+33    3.35406e+35    2.27369e+36    5.28626e+33    1.11631e+34    1.71981e+35    2.85396e+35    1.61648e+32     1.5737e+37    3.94493e+37    8.68015e+33
            188    1.88082e+32    1.27567e+34    2.40824e+33      3.948e+35    2.64117e+36    6.30225e+33     1.3253e+34    2.02175e+35    3.37721e+35    1.92809e+32    1.84936e+37    4.63589e+37    1.03775e+34
            189    2.23354e+32    1.52186e+34    2.84868e+33    4.64376e+35    3.06618e+36    7.50719e+33    1.57216e+34    2.37504e+35    3.99334e+35    2.29787e+32    2.17175e+37    5.44399e+37    1.23959e+34
            190    2.65034e+32    1.81401e+34    3.36705e+33    5.45824e+35    3.55745e+36    8.93502e+33    1.86352e+34    2.78814e+35    4.71828e+35    2.73634e+32    2.54854e+37    6.38844e+37    1.47944e+34
            191    3.14248e+32    2.16043e+34     3.9767e+33    6.41103e+35    4.12499e+36    1.06256e+34    2.20713e+34    3.27084e+35    5.57062e+35    3.25583e+32    2.98862e+37    7.49151e+37    1.76419e+34
            192    3.72314e+32    2.57086e+34    4.69318e+33    7.52485e+35    4.78024e+36    1.26257e+34    2.61207e+34    3.83451e+35    6.57203e+35    3.87084e+32    3.50225e+37    8.77895e+37    2.10199e+34
            193    4.40772e+32    3.05674e+34    5.53456e+33    8.82604e+35    5.53633e+36    1.49902e+34    3.08891e+34    4.49229e+35    7.74772e+35    4.59837e+32    4.10133e+37    1.02806e+38    2.50239e+34
            194    5.21425e+32    3.63148e+34    6.52193e+33    1.03451e+36     6.4083e+36    1.77832e+34       3.65e+34    5.25939e+35    9.12705e+35    5.45835e+32    4.79962e+37    1.20309e+38    2.97662e+34
            195    6.16375e+32    4.31079e+34    7.67976e+33    1.21173e+36    7.41334e+36    2.10798e+34    4.30975e+34    6.15341e+35    1.07441e+36    6.47411e+32      5.613e+37    1.40697e+38    3.53784e+34
            196    7.28076e+32    5.11308e+34    9.03654e+33    1.41835e+36     8.5711e+36    2.49678e+34    5.08493e+34    7.19466e+35    1.26386e+36    7.67298e+32    6.55983e+37     1.6443e+38    4.20148e+34
            197    8.59388e+32    6.05986e+34    1.06253e+34     1.6591e+36    9.90406e+36      2.955e+34    5.99508e+34    8.40665e+35    1.48566e+36    9.08689e+32     7.6613e+37    1.92039e+38    4.98564e+34
            198    1.01365e+33    7.17633e+34    1.24844e+34    1.93941e+36    1.14379e+37     3.4946e+34    7.06294e+34    9.81647e+35    1.74515e+36    1.07532e+33    8.94183e+37    2.24137e+38    5.91148e+34
            199    1.19473e+33    8.49188e+34    1.46584e+34    2.26559e+36    1.32019e+37    4.12957e+34    8.31493e+34    1.14554e+36    2.04852e+36    1.27155e+33    1.04296e+38     2.6143e+38    7.00377e+34

state density, microcanonical rate constants:
well = w_1
    E, kcal/mol    D, mol/kcal       w_1->w_2       w_1->w_3       w_1->w_4
              0              0            ***            ***            ***
              1    1.59418e+07              0              0       0.153865
              2    1.45538e+08              0              0       0.531475
              3    7.81298e+08              0              0        1.38329
              4     3.3164e+09              0       7.69e-34        3.05012
              5    1.21351e+10              0    1.20358e-31          6.092
              6    3.98333e+10              0    9.83421e-30        11.4195
              7    1.19883e+11    4.31323e-09     5.7711e-28        20.5219
              8    3.36684e+11    1.33081e-07    2.60346e-26        35.7032
              9    8.92439e+11    1.48035e-06    9.45122e-25        60.5728
             10    2.25129e+12    1.05638e-05    2.85638e-23        100.726
             11    5.44039e+12    5.79864e-05    7.37486e-22        164.745
             12    1.26593e+13    0.000266476    1.66009e-20        265.707
             13    2.84832e+13     0.00107503    3.31157e-19        423.416
             14    6.21795e+13     0.00392209    5.93278e-18        667.685
             15    1.32079e+14      0.0132017    9.65179e-17        1043.13
             16    2.73653e+14      0.0415848     1.4392e-15        1616.19
             17    5.54187e+14       0.123881    1.98258e-14        2485.31
             18    1.09896e+15       0.351825    2.54027e-13        3795.69
             19    2.13728e+15       0.958601     3.0452e-12        5760.56
             20    4.08219e+15        2.51835    3.43294e-11        8691.74
             21    7.66676e+15        6.40494     3.6558e-10        13043.3
             22    1.41739e+16        15.8196    3.69227e-09        19473.4
             23    2.58197e+16        38.0203    3.54924e-08          28932
             24     4.6385e+16        88.8847    3.25748e-07        42781.5
             25    8.22457e+16        201.041    2.86264e-06        62960.1
             26    1.44036e+17        434.434    2.41492e-05        92194.4
             27    2.49309e+17        885.913    0.000196019         134260
             28    4.26749e+17        1702.51     0.00153416         194283
             29    7.22794e+17        3100.61      0.0115997         279082
             30    1.21195e+18        5381.78      0.0848689         397538
             31    2.01271e+18        8948.46       0.601146         560991
             32    3.31205e+18        14325.1        4.08392         783640
             33    5.40261e+18        22178.2        24.9389    1.08294e+06
             34    8.73902e+18        33332.6        120.511    1.48001e+06
             35    1.40224e+19        48790.7        447.867    1.99997e+06
             36    2.23269e+19        69751.2        1352.83    2.67233e+06
             37    3.52863e+19          97625        3510.49    3.53127e+06
             38    5.53708e+19         134051        8126.34    4.61596e+06
             39    8.62913e+19         180909        17203.5    5.97072e+06
             40     1.3359e+20         240336        33884.5    7.64532e+06
             41    2.05495e+20         314736        62876.4    9.69506e+06
             42    3.14158e+20         406788         110961    1.21809e+07
             43    4.77423e+20         519458         187591    1.51695e+07
             44     7.2136e+20         656005         305568    1.87334e+07
             45    1.08387e+21         819986         481811    2.29509e+07
             46    1.61977e+21    1.01526e+06         738190    2.79058e+07
             47    2.40798e+21      1.246e+06    1.10244e+06    3.36878e+07
             48    3.56161e+21    1.51668e+06    1.60915e+06     4.0392e+07
             49    5.24204e+21    1.83209e+06    2.30077e+06     4.8119e+07
             50     7.6785e+21    2.19731e+06    3.22871e+06    5.69746e+07
             51    1.11953e+22    2.61775e+06    4.45445e+06    6.70695e+07
             52    1.62491e+22    3.09912e+06     6.0507e+06    7.85196e+07
             53    2.34811e+22    3.64742e+06    8.10251e+06    9.14452e+07
             54    3.37871e+22    4.26896e+06    1.07085e+07    1.05971e+08
             55    4.84147e+22    4.97034e+06    1.39821e+07    1.22226e+08
             56    6.90947e+22    5.75844e+06    1.80526e+07    1.40343e+08
             57    9.82198e+22    6.64042e+06    2.30661e+07    1.60458e+08
             58    1.39086e+23    7.62374e+06    2.91873e+07    1.82711e+08
             59    1.96218e+23    8.71609e+06    3.65998e+07    2.07245e+08
             60    2.75808e+23    9.92544e+06    4.55076e+07    2.34206e+08
             61    3.86299e+23      1.126e+07    5.61362e+07    2.63742e+08
             62    5.39173e+23    1.27283e+07    6.87332e+07    2.96004e+08
             63    7.49988e+23    1.43389e+07    8.35695e+07    3.31143e+08
             64    1.03977e+24    1.61009e+07     1.0094e+08    3.69314e+08
             65    1.43684e+24    1.80233e+07    1.21164e+08    4.10672e+08
             66    1.97926e+24    2.01155e+07    1.44588e+08    4.55375e+08
             67    2.71798e+24     2.2387e+07    1.71582e+08    5.03579e+08
             68     3.7211e+24    2.48476e+07    2.02545e+08    5.55443e+08
             69    5.07932e+24    2.75072e+07    2.37903e+08    6.11126e+08
             70    6.91316e+24    3.03759e+07    2.78109e+08    6.70786e+08
             71    9.38232e+24    3.34638e+07    3.23645e+08    7.34583e+08
             72    1.26979e+25    3.67816e+07     3.7502e+08    8.02673e+08
             73    1.71383e+25    4.03396e+07    4.32774e+08    8.75217e+08
             74    2.30696e+25    4.41485e+07    4.97475e+08    9.52369e+08
             75    3.09723e+25    4.82192e+07    5.69718e+08    1.03429e+09
             76    4.14752e+25    5.25625e+07     6.5013e+08    1.12113e+09
             77    5.53999e+25    5.71896e+07    7.39365e+08    1.21304e+09
             78    7.38165e+25    6.21115e+07    8.38108e+08    1.31018e+09
             79     9.8117e+25    6.73393e+07     9.4707e+08     1.4127e+09
             80    1.30107e+26    7.28845e+07    1.06699e+09    1.52075e+09
             81    1.72124e+26    7.87584e+07    1.19865e+09    1.63447e+09
             82    2.27187e+26    8.49724e+07    1.34283e+09    1.75401e+09
             83    2.99191e+26     9.1538e+07    1.50036e+09    1.87951e+09
             84    3.93144e+26    9.84668e+07     1.6721e+09    2.01111e+09
             85    5.15479e+26     1.0577e+08    1.85892e+09    2.14895e+09
             86    6.74437e+26     1.1346e+08    2.06174e+09    2.29317e+09
             87    8.80563e+26    1.21548e+08    2.28147e+09    2.44389e+09
             88    1.14732e+27    1.30045e+08    2.51909e+09    2.60126e+09
             89    1.49185e+27    1.38964e+08    2.77556e+09    2.76539e+09
             90    1.93598e+27    1.48316e+08     3.0519e+09    2.93641e+09
             91    2.50741e+27    1.58113e+08    3.34913e+09    3.11444e+09
             92    3.24123e+27    1.68365e+08     3.6683e+09     3.2996e+09
             93    4.18188e+27    1.79086e+08    4.01049e+09    3.49201e+09
             94    5.38545e+27    1.90287e+08    4.37679e+09    3.69177e+09
             95    6.92269e+27    2.01979e+08    4.76831e+09    3.89901e+09
             96    8.88264e+27    2.14174e+08    5.18619e+09    4.11381e+09
             97    1.13772e+28    2.26884e+08    5.63158e+09    4.33629e+09
             98    1.45468e+28    2.40119e+08    6.10566e+09    4.56655e+09
             99    1.85674e+28    2.53892e+08     6.6096e+09    4.80468e+09
            100     2.3659e+28    2.68215e+08    7.14462e+09    5.05078e+09
            101    3.00965e+28    2.83097e+08    7.71193e+09    5.30493e+09
            102    3.82224e+28    2.98552e+08    8.31277e+09    5.56722e+09
            103    4.84635e+28    3.14589e+08    8.94838e+09    5.83773e+09
            104    6.13502e+28    3.31221e+08    9.62002e+09    6.11656e+09
            105    7.75412e+28    3.48458e+08     1.0329e+10    6.40376e+09
            106     9.7853e+28    3.66312e+08    1.10765e+10    6.69941e+09
            107    1.23296e+29    3.84793e+08     1.1864e+10    7.00359e+09
            108    1.55121e+29    4.03913e+08    1.26926e+10    7.31636e+09
            109    1.94869e+29    4.23682e+08    1.35637e+10    7.63779e+09
            110    2.44443e+29    4.44111e+08    1.44786e+10    7.96793e+09
            111    3.06186e+29    4.65211e+08    1.54387e+10    8.30685e+09
            112    3.82975e+29    4.86993e+08    1.64453e+10    8.65459e+09
            113    4.78349e+29    5.09466e+08    1.74997e+10    9.01121e+09
            114    5.96643e+29    5.32642e+08    1.86033e+10    9.37675e+09
            115    7.43172e+29     5.5653e+08    1.97574e+10    9.75126e+09
            116    9.24435e+29    5.81142e+08    2.09633e+10    1.01348e+10
            117    1.14837e+30    6.06486e+08    2.22225e+10    1.05274e+10
            118    1.42468e+30    6.32574e+08    2.35362e+10     1.0929e+10
            119    1.76517e+30    6.59414e+08    2.49059e+10    1.13398e+10
            120    2.18424e+30    6.87018e+08    2.63328e+10    1.17597e+10
            121    2.69936e+30    7.15394e+08    2.78184e+10    1.21888e+10
            122     3.3318e+30    7.44552e+08     2.9364e+10    1.26271e+10
            123    4.10733e+30    7.74502e+08    3.09708e+10    1.30747e+10
            124    5.05721e+30    8.05253e+08    3.26404e+10    1.35314e+10
            125    6.21926e+30    8.36815e+08     3.4374e+10    1.39975e+10
            126    7.63923e+30    8.69196e+08     3.6173e+10    1.44727e+10
            127    9.37237e+30    9.02406e+08    3.80387e+10    1.49573e+10
            128    1.14854e+31    9.36453e+08    3.99724e+10    1.54512e+10
            129    1.40586e+31    9.71347e+08    4.19755e+10    1.59543e+10
            130    1.71889e+31     1.0071e+09    4.40492e+10    1.64668e+10
            131    2.09926e+31    1.04371e+09    4.61949e+10    1.69885e+10
            132    2.56096e+31    1.08119e+09     4.8414e+10    1.75196e+10
            133    3.12079e+31    1.11956e+09    5.07076e+10    1.80599e+10
            134    3.79889e+31    1.15882e+09    5.30771e+10    1.86096e+10
            135     4.6194e+31    1.19897e+09    5.55237e+10    1.91685e+10
            136    5.61119e+31    1.24003e+09    5.80488e+10    1.97367e+10
            137     6.8088e+31      1.282e+09    6.06535e+10    2.03141e+10
            138    8.25349e+31    1.32489e+09    6.33392e+10    2.09008e+10
            139    9.99451e+31    1.36871e+09    6.61071e+10    2.14967e+10
            140    1.20906e+32    1.41346e+09    6.89583e+10    2.21018e+10
            141    1.46116e+32    1.45916e+09    7.18941e+10    2.27162e+10
            142    1.76409e+32    1.50581e+09    7.49158e+10    2.33396e+10
            143    2.12775e+32    1.55342e+09    7.80244e+10    2.39723e+10
            144    2.56389e+32      1.602e+09    8.12213e+10     2.4614e+10
            145    3.08648e+32    1.65154e+09    8.45074e+10    2.52648e+10
            146    3.71208e+32    1.70207e+09    8.78841e+10    2.59247e+10
            147    4.46031e+32    1.75358e+09    9.13524e+10    2.65936e+10
            148    5.35441e+32    1.80609e+09    9.49135e+10    2.72716e+10
            149    6.42185e+32    1.85959e+09    9.85684e+10    2.79584e+10
            150    7.69512e+32     1.9141e+09    1.02318e+11    2.86542e+10
            151    9.21258e+32    1.96962e+09    1.06164e+11    2.93589e+10
            152    1.10195e+33    2.02616e+09    1.10107e+11    3.00725e+10
            153    1.31693e+33    2.08372e+09    1.14149e+11    3.07949e+10
            154    1.57248e+33    2.14232e+09    1.18289e+11     3.1526e+10
            155      1.876e+33    2.20195e+09     1.2253e+11    3.22659e+10
            156    2.23621e+33    2.26262e+09    1.26871e+11    3.30144e+10
            157    2.66334e+33    2.32434e+09    1.31316e+11    3.37716e+10
            158    3.16941e+33    2.38711e+09    1.35863e+11    3.45374e+10
            159    3.76852e+33    2.45094e+09    1.40514e+11    3.53118e+10
            160    4.47722e+33    2.51584e+09    1.45271e+11    3.60947e+10
            161     5.3149e+33     2.5818e+09    1.50133e+11     3.6886e+10
            162    6.30425e+33    2.64884e+09    1.55103e+11    3.76857e+10
            163    7.47183e+33    2.71696e+09     1.6018e+11    3.84937e+10
            164    8.84869e+33    2.78616e+09    1.65366e+11    3.93101e+10
            165    1.04711e+34    2.85645e+09    1.70661e+11    4.01347e+10
            166    1.23815e+34    2.92783e+09    1.76067e+11    4.09675e+10
