microcanonical number of states:
    E, kcal/mol          rxn_2          rxn_4          rxn_7          rxn_1          rxn_5
             78    6.43903e+22     1.3924e+26    6.13282e+25    1.34961e+22    1.33108e+28
             79    9.27255e+22    1.86309e+26    8.22657e+25    2.01705e+22    1.78785e+28
             80    1.32986e+23    2.48677e+26    1.10072e+26    2.99893e+22    2.39506e+28
             81     1.8997e+23    3.31123e+26    1.46913e+26    4.43639e+22    3.20027e+28
             82    2.70322e+23     4.3986e+26    1.95606e+26    6.53084e+22     4.2654e+28
             83    3.83206e+23    5.82947e+26    2.59817e+26    9.56856e+22    5.67099e+28
             84    5.41225e+23    7.70817e+26    3.44296e+26    1.39547e+23     7.5215e+28
             85    7.61652e+23    1.01695e+27    4.55194e+26    2.02604e+23    9.95213e+28
             86    1.06808e+24    1.33872e+27    6.00451e+26    2.92874e+23    1.31375e+29
             87    1.49265e+24     1.7585e+27    7.90302e+26     4.2157e+23    1.73027e+29
             88    2.07896e+24    2.30498e+27    1.03791e+27    6.04317e+23    2.27372e+29
             89    2.88607e+24    3.01499e+27    1.36017e+27    8.62804e+23    2.98125e+29
             90    3.99365e+24     3.9356e+27    1.77874e+27    1.22703e+24    3.90048e+29
             91     5.5089e+24    5.12693e+27    2.32129e+27    1.73836e+24    5.09226e+29
             92    7.57566e+24    6.66561e+27    3.02316e+27     2.4536e+24    6.63426e+29
             93    1.03864e+25    8.64914e+27    3.92937e+27    3.45056e+24    8.62542e+29
             94    1.41981e+25    1.12013e+28    5.09714e+27     4.8354e+24    1.11915e+30
             95    1.93524e+25    1.44792e+28    6.59917e+27    6.75259e+24    1.44921e+30
             96    2.63034e+25    1.86814e+28    8.52751e+27    9.39806e+24    1.87295e+30
             97    3.56517e+25    2.40591e+28    1.09987e+28    1.30368e+25    2.41592e+30
             98    4.81912e+25    3.09288e+28    1.41597e+28    1.80259e+25    3.11041e+30
             99    6.49674e+25    3.96895e+28    1.81961e+28    2.48457e+25    3.99708e+30
            100    8.73548e+25    5.08426e+28    2.33414e+28      3.414e+25    5.12712e+30
            101    1.17156e+26    6.50176e+28    2.98887e+28    4.67694e+25    6.56477e+30
            102    1.56728e+26    8.30035e+28    3.82062e+28    6.38816e+25    8.39064e+30
            103    2.09149e+26    1.05788e+29    4.87549e+28    8.70023e+25    1.07056e+31
            104    2.78428e+26    1.34604e+29    6.21114e+28    1.18155e+26    1.36358e+31
            105    3.69774e+26    1.70993e+29    7.89957e+28    1.60018e+26    1.73386e+31
            106    4.89941e+26    2.16871e+29    1.00306e+29    2.16125e+26    2.20101e+31
            107    6.47671e+26    2.74624e+29    1.27159e+29    2.91125e+26    2.78944e+31
            108    8.54252e+26    3.47217e+29    1.60946e+29    3.91129e+26    3.52946e+31
            109    1.12423e+27    4.38327e+29    2.03391e+29     5.2414e+26    4.45869e+31
            110    1.47632e+27    5.52508e+29    2.56635e+29    7.00619e+26    5.62371e+31
            111    1.93453e+27    6.95396e+29    3.23324e+29    9.34213e+26    7.08217e+31
            112    2.52963e+27     8.7395e+29    4.06732e+29    1.24268e+27    8.90526e+31
            113    3.30096e+27    1.09676e+30    5.10902e+29    1.64908e+27    1.11808e+32
            114    4.29874e+27    1.37441e+30    6.40815e+29    2.18328e+27     1.4017e+32
            115    5.58695e+27    1.71992e+30    8.02608e+29    2.88394e+27     1.7547e+32
            116    7.24692e+27    2.14929e+30    1.00382e+30    3.80089e+27    2.19343e+32
            117    9.38192e+27    2.68216e+30    1.25373e+30    4.99835e+27    2.73795e+32
            118    1.21228e+28    3.34261e+30    1.56369e+30    6.55882e+27    3.41286e+32
            119    1.56351e+28    4.16013e+30    1.94762e+30    8.58816e+27    4.24826e+32
            120    2.01279e+28    5.17076e+30    2.42256e+30    1.12219e+28    5.28092e+32
            121    2.58647e+28    6.41852e+30    3.00931e+30    1.46331e+28    6.55577e+32
            122    3.31773e+28    7.95714e+30    3.73329e+30    1.90427e+28    8.12756e+32
            123    4.24825e+28    9.85207e+30    4.62545e+30    2.47319e+28     1.0063e+33
            124    5.43033e+28     1.2183e+31    5.72351e+30    3.20579e+28    1.24432e+33
            125    6.92948e+28    1.50467e+31     7.0733e+30    4.14742e+28    1.53667e+33
            126    8.82766e+28    1.85608e+31    8.73055e+30    5.35548e+28    1.89532e+33
            127    1.12272e+29     2.2868e+31    1.07628e+31    6.90256e+28    2.33476e+33
            128    1.42557e+29    2.81411e+31    1.32521e+31    8.88025e+28    2.87255e+33
            129    1.80719e+29    3.45892e+31    1.62975e+31     1.1404e+29    3.52994e+33
            130    2.28736e+29    4.24654e+31    2.00191e+31     1.4619e+29    4.33256e+33
            131    2.89058e+29    5.20751e+31    2.45617e+31    1.87076e+29    5.31139e+33
            132    3.64726e+29    6.37867e+31    3.01002e+31    2.38985e+29    6.50375e+33
            133    4.59503e+29    7.80446e+31    3.68456e+31     3.0478e+29    7.95458e+33
            134    5.78043e+29    9.53834e+31    4.50516e+31     3.8804e+29    9.71796e+33
            135     7.2609e+29    1.16446e+32    5.50239e+31    4.93233e+29    1.18589e+34
            136    9.10726e+29    1.42006e+32    6.71294e+31    6.25927e+29    1.44553e+34
            137    1.14067e+30    1.72991e+32     8.1809e+31    7.93052e+29    1.76008e+34
            138    1.42665e+30    2.10513e+32    9.95914e+31    1.00322e+30    2.14075e+34
